,0,1
10,"[[[218 210 201]
  [218 209 201]
  [218 209 201]
  ...
  [216 204 190]
  [216 204 190]
  [216 204 190]]

 [[218 210 201]
  [218 210 201]
  [218 210 201]
  ...
  [216 204 190]
  [216 204 190]
  [216 204 190]]

 [[218 210 201]
  [218 210 201]
  [218 210 201]
  ...
  [216 204 190]
  [216 204 190]
  [216 204 190]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 87 100 105]
  ...
  [ 87  88  86]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
11,"[[[214 204 193]
  [214 204 193]
  [214 204 193]
  ...
  [213 202 190]
  [213 202 191]
  [213 202 191]]

 [[214 204 193]
  [214 204 193]
  [214 204 193]
  ...
  [213 202 191]
  [212 202 191]
  [212 203 191]]

 [[214 204 193]
  [214 204 193]
  [214 204 193]
  ...
  [212 203 191]
  [212 203 191]
  [212 203 191]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 91 101 109]
  ...
  [ 89  90  90]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
12,"[[[221 211 202]
  [221 211 202]
  [220 211 202]
  ...
  [219 206 191]
  [219 206 191]
  [219 206 192]]

 [[221 211 202]
  [221 211 202]
  [221 211 202]
  ...
  [219 207 192]
  [219 207 192]
  [219 207 192]]

 [[221 212 202]
  [221 212 202]
  [221 211 202]
  ...
  [219 207 192]
  [219 207 192]
  [219 207 192]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 74 121 129]
  ...
  [ 88  89  88]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
13,"[[[224 221 215]
  [224 220 215]
  [224 220 215]
  ...
  [ 31  33  26]
  [ 33  37  42]
  [ 32  37  22]]

 [[225 221 216]
  [225 221 216]
  [224 221 216]
  ...
  [ 33  44  25]
  [ 30  30  29]
  [ 32  36  20]]

 [[225 222 218]
  [225 222 218]
  [225 222 217]
  ...
  [ 33  40  36]
  [108 114  65]
  [ 39  57  41]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 92 102 106]
  ...
  [ 82  81  78]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
14,"[[[220 209 196]
  [220 209 196]
  [220 209 196]
  ...
  [218 211 202]
  [215 208 200]
  [156 151 149]]

 [[220 209 197]
  [220 209 196]
  [220 209 196]
  ...
  [126 129 189]
  [ 53  68 110]
  [ 55  74 114]]

 [[220 210 197]
  [220 210 197]
  [220 210 197]
  ...
  [ 46  51  80]
  [ 44  49  62]
  [ 45  56  94]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 88 100 101]
  ...
  [ 91  92  92]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
15,"[[[ 53  47  34]
  [ 52  50  35]
  [ 51  50  56]
  ...
  [ 70  83  66]
  [ 60  62  63]
  [ 65  82 116]]

 [[ 62  96  77]
  [ 53  56  83]
  [ 53  54  58]
  ...
  [ 68  82 100]
  [ 73  87 121]
  [ 73  95 110]]

 [[ 61  61  76]
  [ 54  48  60]
  [ 54  55  64]
  ...
  [ 58  60  60]
  [ 64  73 122]
  [ 65  83 102]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 84  95  99]
  ...
  [ 86  90  90]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
16,"[[[217 203 189]
  [217 203 189]
  [217 203 189]
  ...
  [ 96 124 143]
  [105 136 143]
  [105 137 152]]

 [[217 203 189]
  [217 203 189]
  [217 203 189]
  ...
  [103 131 143]
  [102 131 144]
  [112 143 153]]

 [[217 204 190]
  [217 204 190]
  [217 204 190]
  ...
  [104 133 144]
  [108 139 145]
  [107 138 151]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 94 107 112]
  ...
  [ 87  88  86]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
17,"[[[221 211 201]
  [220 211 201]
  [220 211 201]
  ...
  [219 206 191]
  [219 206 191]
  [219 206 191]]

 [[221 211 201]
  [221 211 201]
  [221 211 201]
  ...
  [219 206 192]
  [219 206 192]
  [219 207 192]]

 [[221 211 202]
  [221 211 202]
  [221 211 202]
  ...
  [219 207 192]
  [219 207 192]
  [219 207 192]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 85  97 106]
  ...
  [ 88  88  88]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
18,"[[[213 205 195]
  [213 205 196]
  [213 205 197]
  ...
  [212 202 191]
  [212 202 191]
  [212 202 191]]

 [[214 204 194]
  [213 204 194]
  [213 204 194]
  ...
  [212 202 191]
  [212 202 191]
  [212 202 191]]

 [[214 205 195]
  [214 205 194]
  [214 204 194]
  ...
  [212 202 191]
  [212 202 191]
  [212 202 191]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [102 112 118]
  ...
  [ 91  92  92]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
19,"[[[220 212 204]
  [220 211 201]
  [219 210 200]
  ...
  [ 35  33  31]
  [ 35  34  28]
  [ 31  28  24]]

 [[221 213 204]
  [221 213 205]
  [220 211 203]
  ...
  [218 214 130]
  [218 215 130]
  [218 215 131]]

 [[220 211 202]
  [220 211 202]
  [220 211 202]
  ...
  [219 216 212]
  [218 215 212]
  [218 215 212]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 79 120 128]
  ...
  [ 87  87  88]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
20,"[[[220 210 200]
  [220 210 200]
  [220 210 200]
  ...
  [219 208 198]
  [219 209 198]
  [219 208 197]]

 [[220 210 200]
  [220 210 200]
  [220 210 200]
  ...
  [218 207 194]
  [219 208 195]
  [219 209 196]]

 [[220 210 201]
  [220 210 201]
  [220 210 200]
  ...
  [220 211 201]
  [220 210 200]
  [219 209 197]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 85  95 101]
  ...
  [ 86  88  88]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
21,"[[[217 211 204]
  [217 211 205]
  [217 212 206]
  ...
  [217 207 195]
  [217 207 195]
  [217 207 195]]

 [[217 210 203]
  [217 210 203]
  [217 210 203]
  ...
  [217 207 195]
  [217 206 195]
  [217 206 195]]

 [[217 211 203]
  [217 211 203]
  [217 210 203]
  ...
  [217 206 195]
  [217 206 195]
  [217 206 195]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 89  99 104]
  ...
  [ 90  91  90]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
22,"[[[224 213 201]
  [224 213 201]
  [224 213 201]
  ...
  [222 214 205]
  [222 214 205]
  [222 214 206]]

 [[224 214 202]
  [224 214 202]
  [224 213 201]
  ...
  [222 215 205]
  [222 215 206]
  [222 215 206]]

 [[224 214 203]
  [224 214 203]
  [224 214 203]
  ...
  [222 215 206]
  [222 215 205]
  [222 215 206]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 61  61  60]
  ...
  [ 88  87  86]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
23,"[[[214 204 193]
  [214 204 193]
  [214 204 193]
  ...
  [213 202 191]
  [213 202 191]
  [213 202 191]]

 [[214 204 193]
  [214 204 193]
  [214 204 193]
  ...
  [213 203 191]
  [213 203 191]
  [213 203 191]]

 [[214 204 193]
  [214 204 193]
  [214 204 193]
  ...
  [213 203 191]
  [213 203 191]
  [213 203 191]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 97 109 116]
  ...
  [ 91  93  93]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
24,"[[[214 206 198]
  [214 206 198]
  [214 206 198]
  ...
  [214 202 189]
  [214 202 189]
  [214 202 189]]

 [[214 206 197]
  [214 206 197]
  [214 206 197]
  ...
  [214 202 189]
  [214 202 189]
  [214 202 189]]

 [[214 206 196]
  [214 206 197]
  [214 206 197]
  ...
  [214 202 190]
  [214 202 190]
  [214 202 190]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [103 114 118]
  ...
  [ 91  93  93]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
25,"[[[214 206 198]
  [214 206 198]
  [214 206 198]
  ...
  [214 202 189]
  [214 202 189]
  [214 202 189]]

 [[214 206 197]
  [214 206 197]
  [214 206 197]
  ...
  [214 202 189]
  [214 202 189]
  [213 202 189]]

 [[214 206 197]
  [214 206 197]
  [214 206 197]
  ...
  [213 202 189]
  [214 202 189]
  [214 202 189]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [104 115 118]
  ...
  [ 92  93  92]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
26,"[[[173 160 149]
  [173 160 150]
  [177 166 151]
  ...
  [229 227 223]
  [229 227 223]
  [229 227 223]]

 [[175 162 150]
  [175 162 150]
  [176 164 152]
  ...
  [229 227 223]
  [229 227 224]
  [229 227 224]]

 [[174 161 149]
  [174 161 150]
  [175 163 150]
  ...
  [229 227 224]
  [229 227 224]
  [229 227 224]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 74  81  82]
  ...
  [ 85  85  84]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
27,"[[[214 206 198]
  [214 206 198]
  [214 206 198]
  ...
  [213 201 187]
  [214 202 188]
  [214 203 190]]

 [[214 206 198]
  [214 206 198]
  [214 206 198]
  ...
  [214 204 192]
  [216 207 196]
  [216 207 197]]

 [[214 206 198]
  [214 206 198]
  [214 206 198]
  ...
  [215 206 196]
  [216 207 198]
  [216 208 199]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 99 109 115]
  ...
  [ 93  94  93]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
28,"[[[224 216 208]
  [224 216 208]
  [224 216 209]
  ...
  [222 211 199]
  [222 211 199]
  [222 211 200]]

 [[224 216 208]
  [224 216 208]
  [224 216 208]
  ...
  [222 212 200]
  [223 212 200]
  [223 212 200]]

 [[224 216 208]
  [224 216 208]
  [224 216 208]
  ...
  [223 213 201]
  [223 213 202]
  [223 213 202]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 81  90  95]
  ...
  [ 88  89  88]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
29,"[[[65 53 48]
  [65 52 47]
  [65 53 47]
  ...
  [64 57 54]
  [64 57 55]
  [65 57 54]]

 [[64 52 45]
  [65 52 46]
  [64 51 44]
  ...
  [65 58 54]
  [64 57 53]
  [64 56 55]]

 [[64 51 44]
  [64 50 43]
  [64 50 42]
  ...
  [65 58 54]
  [64 56 53]
  [65 59 59]]

 ...

 [[43 43 43]
  [66 66 66]
  [77 77 78]
  ...
  [83 82 80]
  [73 72 69]
  [65 63 60]]

 [[43 43 43]
  [43 43 43]
  [43 43 43]
  ...
  [65 63 60]
  [65 63 60]
  [65 63 60]]

 [[43 43 43]
  [43 43 43]
  [43 43 43]
  ...
  [65 63 60]
  [65 63 60]
  [65 63 60]]]","[1, 0]"
30,"[[[224 213 201]
  [224 213 201]
  [224 213 201]
  ...
  [222 214 205]
  [222 215 205]
  [222 215 205]]

 [[224 214 202]
  [224 214 202]
  [224 214 202]
  ...
  [222 215 206]
  [222 215 206]
  [222 215 206]]

 [[224 215 204]
  [224 214 203]
  [224 214 203]
  ...
  [222 215 206]
  [222 215 206]
  [222 215 206]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 59  58  58]
  ...
  [ 88  87  86]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
31,"[[[228 229 228]
  [228 229 228]
  [228 229 228]
  ...
  [ 63  60  57]
  [ 58  55  58]
  [ 60  58  61]]

 [[228 229 228]
  [228 229 228]
  [228 229 228]
  ...
  [ 60  58  58]
  [ 60  58  58]
  [ 62  61  65]]

 [[228 229 229]
  [228 229 229]
  [228 229 229]
  ...
  [ 62  62  58]
  [ 66  67  71]
  [ 71  72  80]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 96 104 111]
  ...
  [ 92  93  92]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[1, 0]"
32,"[[[214 201 188]
  [214 201 188]
  [214 201 187]
  ...
  [212 203 194]
  [213 204 194]
  [213 204 195]]

 [[214 201 187]
  [214 201 187]
  [214 201 187]
  ...
  [213 204 195]
  [213 205 196]
  [213 205 196]]

 [[214 201 187]
  [214 201 187]
  [214 200 187]
  ...
  [213 206 197]
  [214 206 198]
  [214 207 199]]

 ...

 [[ 43  43  43]
  [ 66  66  66]
  [ 98 110 110]
  ...
  [ 90  92  89]
  [ 73  72  69]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]

 [[ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]
  ...
  [ 65  63  60]
  [ 65  63  60]
  [ 65  63  60]]]","[0, 1]"
